278713204,13204,2787,SIG:W110(CO) CLAPHAM JCN(MAIN),NMC1,4.4497
278728521,28521,2787,"",CWU1,-1
278718430,18430,2787,"",NMC1,-1
278728655,28655,2787,"",WCU1,-1
278712684,12684,2787,SIG:VC589(CO) CLAPHAM JN,UWC1,3.919
278728615,28615,2787,"",CWU1,-1
278728688,28688,2787,"",UCW1,-1
278728620,28620,2787,"",WUC1,-1
278728685,28685,2787,"",CWU1,-1
278729651,29651,2787,"",MXM,-1
278729590,29590,2787,"",MXM,-1
278729652,29652,2787,"",XMM,-1
278729634,29634,2787,"",MXM,-1
278729628,29628,2787,"",MMX,-1
278729654,29654,2787,"",MMX,-1
278729629,29629,2787,"",XMM,-1
278728686,28686,2787,"",UWC1,-1
278728572,28572,2787,"",WCU1,-1
278728523,28523,2787,"",UWC1,-1
278728694,28694,2787,"",UWC1,-1
278728691,28691,2787,"",UWC1,-1
278729656,29656,2787,"",XMM,-1
278729631,29631,2787,"",XMM,-1
278729632,29632,2787,"",MXM,-1
278729591,29591,2787,"",XMM,-1
278728525,28525,2787,"",CUW1,-1
278728699,28699,2787,"",WUC1,-1
278713256,13256,2787,SIG:W302(CO) CLAPHAM JCN(WNR),SHE1,6.0843
278713255,13255,2787,SIG:W300(CO) CLAPHAM JCN(WNR),SEH1,6.3191
278728608,28608,2787,"",UCW1,-1
278713358,13358,2787,SIG:W304(CO) CLAPHAM JUNCTION,MGM3,6.1603
278712462,12462,2787,SIG:VS569(LED)(PL) MARCO POLO [HH02],CTG,3.3076
278712463,12463,2787,SIG:VS572(LED)(PL) MARCO POLO [HH02],TGC,1.5892
278713188,13188,2787,SIG:W70(CO) NINE ELMS(MAIN),MNC1,2.4589
277612461,12461,2776,SIG:VS567(LED)(PL) MARCO POLO [HH02],TGC,2.3836
277612465,12465,2776,SIG:VS584(LED)(PL) STEWARTS LANE [HH03],TCG,3.2792
277612476,12476,2776,SIG:VS062(CO) STEWARTS LANE [HH01],TCQ1,3.4025
277613347,13347,2776,SIG:W928(CO) QUEENSTOWN RD(WNR),HSE1,3.599
277613207,13207,2776,SIG:W117(CO) QUEENSTOWN RD(WNR),EHS1,2.9331
277613205,13205,2776,SIG:W113(CO) QUEENSTOWN RD(MAIN),MNC1,3.6234
277612462,12462,2776,SIG:VS569(LED)(PL) MARCO POLO [HH02],TCG,1.5176
277612463,12463,2776,SIG:VS572(LED)(PL) MARCO POLO [HH02],GCT,2.6692
277613188,13188,2776,SIG:W70(CO) NINE ELMS(MAIN),MCN1,4.6189
420640894,40894,4206,"","",-1
420612289,12289,4206,SIG:NL1245(SL) HIGHBURY & ISLINGTON,LPC1,5.3534
420638199,38199,4206,SIG:YA3191(CO) DRAYTON PARK,CFN1,4.7544
420638196,38196,4206,SIG:YA4190(CO) HIGHBURY VALE JN,NFC1,4.9607
408513398,13398,4085,SIG:WM936(CO)WEMBLEY CENTRAL STN,MHM,3.0083
408513361,13361,4085,SIG:WM130(CO)HARLESDEN JCN,DFM1,8.2632
408513890,13890,4085,SIG:WM756(CO)HARLESDEN JCN,XMD,2.9576
408513891,13891,4085,SIG:WM758(CO)HARLESDEN JCN,TUX,7.2324
408513895,13895,4085,SIG:WM781(CO)HARLESDEN JCN,XTU,8.7913
408513362,13362,4085,SIG:WM132(CO)WEMBLEY CENTRAL STN,MDF1,9.2917
408513393,13393,4085,SIG:WM791(CO)WEMBLEY CENTRAL STN,MFD1,8.3815
408513399,13399,4085,SIG:WM1252(PL)WEMBLEY CENTRAL STN,XGF1,2.9309
408530015,30015,4085,"",GXF1,-1
408513733,13733,4085,SIG:WS44(CO)WEMBLEY CENTRAL STN,KDX,9.2479
408513392,13392,4085,SIG:WM493(CO)WEMBLEY CENTRAL STN,MFD1,10.0086
40852848,2848,4085,SIG:SN169(CO) IECC PDRF14 LOC R3/107,MON1,4.6026
40852849,2849,4085,SIG:SN173(CO) IECC PDMN02 LOC M3/144,ONM1,5.3489
408513905,13905,4085,SIG:WM817(CO)WILLESDEN JCN,MHM,3.0949
408513908,13908,4085,SIG:WM820(CO)WILLESDEN JCN,MMH,1.5071
408519745,19745,4085,"",NOM1,-1
408513907,13907,4085,SIG:WM819(CO)WILLESDEN JCN,MHM,1.8734
408513894,13894,4085,SIG:WM779(CO)HARLESDEN JCN,IVM,2.6324
408513916,13916,4085,SIG:WM925(CO)HARLESDEN JCN,HMM,3.1539
408513898,13898,4085,SIG:WM788(CO)BRENT NEW JCN,MMH,2.4505
408513730,13730,4085,SIG:WS37(CO)STONEBRIDGE PARK,XDK,7.8686
408530020,30020,4085,"",GXF1,-1
408513726,13726,4085,SIG:WS32(CO)STONEBRIDGE PARK LUL,TMU,8.3888
408513731,13731,4085,SIG:WS42(CO)STONEBRIDGE PARK,KDX,9.6839
107714008,14008,1077,SIG:TL4435(CO) BRUNSWICK COURT JCN,EYU,3.0531
107714006,14006,1077,SIG:TL4432(PL) ABBEY STREET JCN,YEU,3.1367
107714013,14013,1077,SIG:TL4445(PL) BLUE ANCHOR JCN,UEY,4.2038
107714003,14003,1077,SIG:TL4429(CO) LONDON BRIDGE SE STN,UYE,2.4784
37823758,23758,378,"",TQD1,-1
37823760,23760,378,"",DQT1,-1
37813939,13939,378,SIG:TWH1012(PL) MIDLAND ROAD,DNM,3.5543
3786893,6893,378,SIG:K263(CO) NORTH LONDON INCLINE,DSG1,2.8021
51623758,23758,516,"",TQD1,-1
51623760,23760,516,"",QTD1,-1
51613939,13939,516,SIG:TWH1012(PL) MIDLAND ROAD,NMD,4.3643
5166893,6893,516,SIG:K263(CO) NORTH LONDON INCLINE,GDS1,2.0021
27213347,13347,272,SIG:W928(CO) QUEENSTOWN RD(WNR),HES1,3.349
27213207,13207,272,SIG:W117(CO) QUEENSTOWN RD(WNR),SHE1,2.9131
